사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021년 9월 19일 11시,강원도 원주시 지정면,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,여,37세,경상
2021년 9월 26일 14시,강원도 평창군 봉평면,경상사고,0,0,3,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,20세,상해없음,승용,여,24세,경상
2021년 9월 27일 16시,강원도 춘천시 동산면,중상사고,0,1,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,21세,경상,승용,여,51세,중상
2021년 9월 30일 00시,강원도 평창군 봉평면,부상신고사고,0,0,0,1,차량단독 - 공작물충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,여,59세,상해없음,,,,
2021년 9월 30일 15시,강원도 평창군 평창읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,66세,상해없음,화물,남,52세,경상
2021년 10월 1일 13시,강원도 횡성군 횡성읍,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,화물,남,43세,중상
2021년 10월 2일 15시,강원도 양양군 양양읍,사망사고,1,0,0,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,사망,,,,
2021년 10월 3일 09시,강원도 강릉시 사천면,경상사고,0,0,4,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,53세,경상
2021년 10월 4일 13시,강원도 춘천시 남면,경상사고,0,0,1,4,차대차 - 측면충돌,신호위반,포장 - 젖음/습기,비,단일로 - 터널,승용,남,64세,상해없음,승용,남,43세,부상신고
2021년 10월 4일 21시,강원도 강릉시 왕산면,중상사고,0,1,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,39세,경상,승용,남,27세,경상
2021년 10월 5일 20시,강원도 홍천군 홍천읍,중상사고,0,3,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,여,46세,상해없음,화물,남,53세,경상
2021년 10월 9일 16시,강원도 인제군 인제읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,남,70세,상해없음,승용,여,32세,경상
2021년 10월 10일 15시,강원도 강릉시 성산면,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,41세,경상
2021년 10월 10일 16시,강원도 홍천군 홍천읍,사망사고,1,0,2,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 터널,화물,남,38세,사망,,,,
2021년 10월 10일 19시,강원도 원주시 무실동,중상사고,0,2,4,0,차대차 - 정면충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,54세,상해없음,승용,남,29세,경상
2021년 10월 11일 21시,강원도 원주시 소초면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,41세,상해없음,승용,남,36세,경상
2021년 10월 12일 10시,강원도 평창군 봉평면,경상사고,0,0,5,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,승용,남,68세,상해없음,승용,여,36세,경상
2021년 10월 17일 11시,강원도 춘천시 남면,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,승용,여,25세,상해없음,승용,남,44세,상해없음
2021년 10월 17일 17시,강원도 홍천군 서석면,경상사고,0,0,6,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,승용,남,69세,상해없음,승용,남,24세,상해없음
2021년 10월 19일 15시,강원도 춘천시 남면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,여,30세,경상
2021년 10월 21일 14시,강원도 홍천군 홍천읍,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,여,49세,경상
2021년 10월 22일 10시,강원도 원주시 판부면,중상사고,0,2,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,승용,남,47세,상해없음,승용,남,44세,경상
2021년 10월 22일 11시,강원도 평창군 진부면,부상신고사고,0,0,0,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,특수,남,54세,상해없음,승용,남,35세,부상신고
2021년 10월 22일 14시,강원도 춘천시 남면,경상사고,0,0,1,5,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,39세,부상신고
2021년 10월 22일 16시,강원도 강릉시 옥계면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,56세,상해없음,승용,남,32세,경상
2021년 10월 22일 16시,강원도 원주시 지정면,중상사고,0,3,0,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,55세,상해없음,승용,남,42세,중상
2021년 10월 23일 13시,강원도 평창군 진부면,중상사고,0,1,1,0,차대차 - 기타,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,여,38세,중상
2021년 10월 23일 16시,강원도 강릉시 성산면,경상사고,0,0,3,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승합,남,43세,상해없음,승용,여,23세,경상
2021년 10월 27일 10시,강원도 속초시 노학동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,45세,상해없음,승용,남,69세,경상
2021년 10월 28일 18시,강원도 평창군 대관령면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,46세,상해없음,화물,남,60세,경상
2021년 10월 29일 13시,강원도 홍천군 홍천읍,중상사고,0,3,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,69세,상해없음,승용,여,40세,경상
2021년 10월 29일 16시,강원도 횡성군 횡성읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,32세,상해없음,승용,남,74세,중상
2021년 10월 30일 10시,강원도 홍천군 서면,경상사고,0,0,2,3,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승합,남,67세,경상
2021년 11월 1일 10시,강원도 인제군 상남면,중상사고,0,1,4,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,여,25세,경상
2021년 11월 1일 15시,강원도 인제군 상남면,중상사고,0,5,3,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,60세,상해없음,승용,남,29세,경상
2021년 11월 1일 17시,강원도 횡성군 공근면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,화물,남,62세,상해없음,승용,여,42세,중상
2021년 11월 9일 14시,강원도 원주시 지정면,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 교량,화물,남,69세,사망,,,,
2021년 11월 10일 03시,강원도 춘천시 동산면,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,26세,중상,화물,남,60세,경상
2021년 11월 10일 03시,강원도 동해시 귀운동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,특수,남,53세,경상,화물,남,65세,경상
2021년 11월 11일 18시,강원도 춘천시 동산면,중상사고,0,1,2,0,차대차 - 추돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,39세,중상
