사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021년 4월 2일 18시,강원도 춘천시 동내면,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,여,28세,중상
2021년 4월 4일 16시,강원도 인제군 상남면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,화물,남,56세,상해없음,승용,여,46세,경상
2021년 4월 6일 11시,강원도 강릉시 강동면,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 터널,승용,남,52세,중상,승용,여,45세,경상
2021년 4월 12일 22시,강원도 원주시 신림면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,화물,남,58세,상해없음,승용,여,49세,경상
2021년 4월 17일 17시,강원도 횡성군 우천면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,35세,경상
2021년 4월 20일 11시,강원도 홍천군 화촌면,중상사고,0,2,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,여,50세,경상
2021년 4월 21일 17시,강원도 평창군 봉평면,경상사고,0,0,3,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,19세,상해없음,,,,
2021년 4월 25일 07시,강원도 춘천시 남면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,74세,상해없음,승용,남,56세,상해없음
2021년 4월 29일 13시,강원도 원주시 문막읍,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,중상,건설기계,남,43세,경상
2021년 4월 30일 10시,강원도 강릉시 성산면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,남,62세,상해없음,화물,남,35세,경상
2021년 4월 30일 14시,강원도 강릉시 성산면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,흐림,단일로 - 기타,승용,남,61세,상해없음,승용,남,68세,경상
2021년 5월 2일 10시,강원도 춘천시 남면,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,남,32세,상해없음
2021년 5월 2일 22시,강원도 홍천군 북방면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,45세,상해없음,승용,남,42세,경상
2021년 5월 4일 10시,강원도 춘천시 남면,중상사고,0,3,4,1,차대차 - 추돌,안전거리미확보,포장 - 젖음/습기,비,단일로 - 교량,화물,남,49세,상해없음,승용,남,27세,중상
2021년 5월 8일 12시,강원도 홍천군 서면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,승용,남,58세,상해없음,승용,남,25세,경상
2021년 5월 11일 08시,강원도 홍천군 내촌면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,53세,상해없음,기타불명,남,41세,경상
2021년 5월 14일 08시,강원도 원주시 지정면,경상사고,0,0,3,0,차대차 - 추돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,여,59세,상해없음,승용,여,25세,경상
2021년 5월 14일 17시,강원도 춘천시 동내면,경상사고,0,0,1,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,53세,상해없음,승용,남,59세,부상신고
2021년 5월 18일 14시,강원도 강릉시 성산면,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,25세,상해없음,,,,
2021년 5월 22일 15시,강원도 평창군 봉평면,경상사고,0,0,3,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,화물,남,25세,상해없음,승용,남,29세,부상신고
2021년 5월 27일 18시,강원도 춘천시 남산면,사망사고,1,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,화물,남,47세,사망,승용,여,49세,경상
2021년 6월 1일 14시,강원도 평창군 대관령면,경상사고,0,0,1,3,차대차 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,화물,남,53세,상해없음,승용,남,49세,부상신고
2021년 6월 1일 21시,강원도 홍천군 영귀미면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,42세,상해없음,승용,여,61세,경상
2021년 6월 2일 21시,강원도 양양군 서면,경상사고,0,0,1,0,차량단독 - 도로외이탈 - 추락,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,15세,상해없음,,,,
2021년 6월 5일 09시,강원도 강릉시 옥계면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,61세,경상
2021년 6월 5일 19시,강원도 횡성군 안흥면,중상사고,0,1,3,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,68세,중상,승용,여,67세,경상
2021년 6월 10일 06시,강원도 원주시 문막읍,경상사고,0,0,5,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,63세,경상,,,,
2021년 6월 10일 11시,강원도 동해시 심곡동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,60세,상해없음,승용,남,64세,중상
2021년 6월 11일 04시,강원도 홍천군 화촌면,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,여,55세,상해없음,,,,
2021년 6월 11일 18시,강원도 춘천시 남산면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,34세,경상
2021년 6월 12일 10시,강원도 횡성군 둔내면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승합,남,59세,경상
2021년 6월 12일 13시,강원도 동해시 평릉동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승용,여,59세,중상
2021년 6월 16일 02시,강원도 춘천시 동내면,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,,,,
2021년 6월 17일 09시,강원도 홍천군 내촌면,경상사고,0,0,2,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 교량,승합,남,50세,상해없음,승용,여,21세,경상
2021년 6월 19일 11시,강원도 평창군 봉평면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,33세,경상
2021년 6월 19일 13시,강원도 춘천시 남면,중상사고,0,1,2,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,40세,중상
2021년 6월 20일 17시,강원도 횡성군 둔내면,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,30세,경상
2021년 6월 21일 12시,강원도 홍천군 서석면,경상사고,0,0,5,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,34세,상해없음,승용,여,46세,경상
2021년 6월 21일 15시,강원도 홍천군 화촌면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,승용,남,55세,상해없음,승용,남,69세,경상
2021년 6월 23일 17시,강원도 홍천군 홍천읍,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,화물,남,63세,상해없음,승용,여,45세,상해없음
2021년 6월 25일 13시,강원도 평창군 진부면,중상사고,0,1,6,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,경상,승용,남,26세,경상
2021년 6월 25일 19시,강원도 춘천시 동내면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,27세,경상
2021년 6월 26일 14시,강원도 평창군 진부면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,31세,경상
2021년 6월 26일 15시,강원도 평창군 용평면,중상사고,0,1,4,0,차대차 - 추돌,안전거리미확보,포장 - 젖음/습기,흐림,단일로 - 터널,승합,남,42세,상해없음,화물,남,58세,상해없음
2021년 6월 27일 15시,강원도 평창군 진부면,중상사고,0,1,4,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,승합,남,66세,상해없음,승용,남,39세,경상
2021년 6월 28일 12시,강원도 인제군 상남면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,61세,상해없음,승용,남,40세,경상
2021년 6월 30일 18시,강원도 횡성군 둔내면,중상사고,0,1,0,0,차대차 - 기타,기타,포장 - 젖음/습기,비,단일로 - 기타,승용,남,49세,상해없음,화물,남,44세,중상
2021년 7월 2일 20시,강원도 양양군 현남면,경상사고,0,0,1,0,차대차 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,특수,남,57세,상해없음,승용,남,45세,경상
2021년 7월 5일 10시,강원도 홍천군 북방면,경상사고,0,0,4,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,승용,남,64세,경상,승용,여,34세,상해없음
2021년 7월 6일 14시,강원도 강릉시 성산면,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,경상,승용,남,36세,경상
2021년 7월 6일 16시,강원도 춘천시 남면,중상사고,0,3,14,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,승용,여,38세,경상,승용,남,49세,경상
2021년 7월 9일 12시,강원도 춘천시 동산면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,69세,상해없음,승용,여,58세,경상
2021년 7월 9일 18시,강원도 원주시 무실동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,26세,상해없음,특수,남,52세,경상
2021년 7월 9일 23시,강원도 평창군 봉평면,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,포장 - 젖음/습기,흐림,단일로 - 기타,승용,남,62세,상해없음,승용,남,25세,상해없음
2021년 7월 10일 14시,강원도 횡성군 우천면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,54세,상해없음,화물,남,37세,경상
2021년 7월 10일 16시,강원도 횡성군 안흥면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,여,46세,경상
2021년 7월 11일 09시,강원도 원주시 가현동,중상사고,0,3,0,0,차대차 - 기타,신호위반,포장 - 젖음/습기,흐림,단일로 - 기타,승용,남,46세,상해없음,승용,여,52세,중상
2021년 7월 11일 19시,강원도 원주시 태장동,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,39세,경상,,,,
2021년 7월 12일 15시,강원도 횡성군 안흥면,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,53세,상해없음,승용,남,50세,경상
2021년 7월 13일 07시,강원도 홍천군 내촌면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,67세,상해없음,화물,남,58세,경상
2021년 7월 13일 10시,강원도 양양군 현남면,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,21세,상해없음,승용,남,25세,경상
2021년 7월 14일 03시,강원도 평창군 봉평면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,화물,남,49세,상해없음,화물,남,40세,중상
2021년 7월 16일 14시,강원도 평창군 대관령면,경상사고,0,0,3,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,44세,상해없음,승용,남,49세,경상
2021년 7월 16일 15시,강원도 평창군 대관령면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,54세,상해없음,승용,여,48세,경상
2021년 7월 18일 15시,강원도 홍천군 내촌면,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,35세,경상
2021년 7월 18일 16시,강원도 홍천군 화촌면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,18세,상해없음,승용,남,37세,경상
2021년 7월 18일 17시,강원도 홍천군 내촌면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,51세,상해없음,승용,남,35세,경상
2021년 7월 20일 12시,강원도 원주시 지정면,중상사고,0,4,1,0,차대차 - 추돌,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,화물,남,41세,중상
2021년 7월 20일 14시,강원도 강릉시 왕산면,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,44세,경상
