사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021071800100388,2021년 7월 18일 20시,일요일,경기도 남양주시 와부읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,79세,상해없음,승용,남,55세,경상
2.02107E+15,2021년 7월 18일 23시,일요일,경기도 부천시 오정동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 젖음/습기,비,단일로 - 교량,승용,남,26세,상해없음,승용,여,58세,경상
2021071900100032,2021년 7월 19일 05시,월요일,경기도 구리시 교문동,중상사고,0,1,1,2,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,69세,부상신고
2021071900100033,2021년 7월 19일 05시,월요일,경기도 남양주시 와부읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,38세,상해없음,화물,남,43세,경상
2021071900100267,2021년 7월 19일 13시,월요일,경기도 용인시 처인구 고림동,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,65세,사망,화물,남,42세,상해없음
2021071900100333,2021년 7월 19일 14시,월요일,경기도 고양시 일산동구 설문동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,29세,상해없음,승용,남,41세,경상
2.02107E+15,2021년 7월 20일 01시,화요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,25세,상해없음,승용,남,34세,경상
2021072000100011,2021년 7월 20일 01시,화요일,경기도 과천시 갈현동,중상사고,0,2,2,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,부상신고,승용,남,27세,중상
2021072000100136,2021년 7월 20일 10시,화요일,경기도 오산시 서랑동,경상사고,0,0,2,0,차대차 - 기타,차로위반,포장 - 건조,맑음,기타 - 기타,화물,남,60세,상해없음,승용,남,29세,경상
2021072000100291,2021년 7월 20일 14시,화요일,경기도 의정부시 호원동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,25세,경상,화물,남,54세,경상
2021072000100523,2021년 7월 20일 21시,화요일,경기도 하남시 광암동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,30세,경상
2.02107E+15,2021년 7월 21일 04시,수요일,경기도 구리시 수택동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,남,48세,경상
2021072100100091,2021년 7월 21일 08시,수요일,경기도 화성시 비봉면,경상사고,0,0,1,0,차대차 - 기타,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승용,남,43세,경상
2021072100100281,2021년 7월 21일 12시,수요일,경기도 가평군 설악면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,화물,남,49세,상해없음,승용,남,63세,경상
2.02107E+15,2021년 7월 21일 13시,수요일,경기도 평택시 청북읍,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,건설기계,남,58세,상해없음,승용,남,47세,경상
2.02107E+15,2021년 7월 21일 18시,수요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,58세,경상
2021072100100521,2021년 7월 21일 18시,수요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,3,2,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승용,남,33세,경상
2021072200100174,2021년 7월 22일 10시,목요일,경기도 안산시 단원구 신길동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,74세,상해없음,승용,여,62세,경상
2021072200100232,2021년 7월 22일 12시,목요일,경기도 오산시 부산동,중상사고,0,3,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,남,41세,중상
2.02107E+15,2021년 7월 22일 14시,목요일,경기도 광주시 곤지암읍,경상사고,0,0,4,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,여,60세,경상
2021072200100355,2021년 7월 22일 15시,목요일,경기도 용인시 기흥구 공세동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,84세,상해없음,승용,남,45세,경상
2021072200100529,2021년 7월 22일 19시,목요일,경기도 안성시 일죽면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,남,21세,경상
2021072200100645,2021년 7월 22일 23시,목요일,경기도 시흥시 금이동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,34세,기타불명,승용,여,25세,경상
2021072300100049,2021년 7월 23일 06시,금요일,경기도 부천시 중동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,승용,남,41세,상해없음,화물,남,43세,경상
2021072300100086,2021년 7월 23일 08시,금요일,경기도 수원시 영통구 이의동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,45세,상해없음,승용,남,47세,경상
2021072300100087,2021년 7월 23일 08시,금요일,경기도 성남시 수정구 수진동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,승용,남,29세,상해없음,특수,남,52세,경상
2021072300100154,2021년 7월 23일 10시,금요일,경기도 오산시 원동,중상사고,0,2,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,남,60세,경상
2021072300100248,2021년 7월 23일 12시,금요일,경기도 광주시 남한산성면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,화물,남,55세,경상
2021072300100334,2021년 7월 23일 15시,금요일,경기도 안성시 일죽면,중상사고,0,1,2,2,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,경상,화물,남,65세,중상
2.02107E+15,2021년 7월 23일 15시,금요일,경기도 하남시 상산곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,52세,상해없음,승용,여,53세,경상
2021072300100416,2021년 7월 23일 16시,금요일,경기도 하남시 선동,중상사고,0,2,0,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승합,남,43세,상해없음,승용,여,45세,중상
2.02107E+15,2021년 7월 23일 19시,금요일,경기도 고양시 덕양구 신평동,경상사고,0,0,2,0,차대차 - 정면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,50세,상해없음,승용,남,61세,상해없음
2021072400100041,2021년 7월 24일 06시,토요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,0,차대차 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,특수,남,37세,상해없음,승용,남,56세,경상
2021072400100076,2021년 7월 24일 08시,토요일,경기도 가평군 설악면,중상사고,0,1,3,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,화물,남,61세,기타불명,승용,남,41세,경상
2021072400100099,2021년 7월 24일 09시,토요일,경기도 안양시 만안구 석수동,경상사고,0,0,2,2,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,승용,남,24세,상해없음,승용,남,39세,경상
2021072400100158,2021년 7월 24일 11시,토요일,경기도 평택시 청북읍,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,50세,상해없음,승용,남,29세,경상
2021072400100288,2021년 7월 24일 14시,토요일,경기도 화성시 매송면,중상사고,0,2,3,2,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,경상,승용,여,49세,중상
2021072400100357,2021년 7월 24일 16시,토요일,경기도 용인시 수지구 고기동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,30세,상해없음,승용,여,57세,중상
2021072400100358,2021년 7월 24일 16시,토요일,경기도 여주시 가남읍,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,화물,남,55세,상해없음,승용,남,62세,경상
2021072400100359,2021년 7월 24일 16시,토요일,경기도 용인시 처인구 양지면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,31세,경상
2021072400100382,2021년 7월 24일 16시,토요일,경기도 광주시 도척면,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,62세,상해없음,승용,남,61세,경상
2021072500100053,2021년 7월 25일 08시,일요일,경기도 화성시 팔탄면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,73세,상해없음,보행자,남,37세,경상
2.02107E+15,2021년 7월 25일 11시,일요일,경기도 여주시 가남읍,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,남,52세,부상신고
