사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021070300100323,2021년 7월 3일 15시,토요일,전라북도 익산시 왕궁면,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,50세,상해없음,승용,남,33세,경상
2021070600100184,2021년 7월 6일 11시,화요일,전라북도 임실군 관촌면,부상신고사고,0,0,0,1,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,50세,상해없음,승용,남,51세,상해없음
2021071600100276,2021년 7월 16일 13시,금요일,전라북도 장수군 계북면,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,37세,상해없음,,,,
2021073100100387,2021년 7월 31일 17시,토요일,전라북도 부안군 부안읍,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,64세,상해없음,화물,남,58세,경상
2021073100100425,2021년 7월 31일 18시,토요일,전라북도 임실군 관촌면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,25세,상해없음,보행자,여,43세,중상
2021080600100612,2021년 8월 6일 22시,금요일,전라북도 완주군 상관면,사망사고,2,6,7,0,차대차 - 추돌,기타,포장 - 건조,맑음,단일로 - 교량,승용,남,29세,중상,승용,여,50세,중상
2021080700100535,2021년 8월 7일 22시,토요일,전라북도 김제시 청하면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,40세,상해없음,화물,남,65세,경상
2021082700100049,2021년 8월 27일 07시,금요일,전라북도 임실군 관촌면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,단일로 - 교량,승용,남,38세,상해없음,특수,남,50세,경상
2021090300100219,2021년 9월 3일 13시,금요일,전라북도 무주군 적상면,사망사고,1,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,51세,경상,화물,남,56세,사망
2021090400100027,2021년 9월 4일 02시,토요일,전라북도 고창군 대산면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,화물,남,49세,경상
2021090600100219,2021년 9월 6일 11시,월요일,전라북도 임실군 성수면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 젖음/습기,비,단일로 - 기타,화물,남,49세,상해없음,승용,남,28세,경상
2021091100100566,2021년 9월 11일 19시,토요일,전라북도 장수군 계북면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,27세,상해없음,화물,남,64세,중상
2021091800100027,2021년 9월 18일 04시,토요일,전라북도 장수군 계남면,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,43세,사망,화물,남,64세,상해없음
2021092100100119,2021년 9월 21일 13시,화요일,전라북도 무주군 적상면,중상사고,0,5,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,승용,여,28세,경상,승용,여,21세,상해없음
2021100900100024,2021년 10월 9일 05시,토요일,전라북도 완주군 소양면,중상사고,0,2,3,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,64세,중상
2021101500100577,2021년 10월 15일 20시,금요일,전라북도 장수군 계북면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승합,남,35세,상해없음,승용,남,35세,경상
2021102500100230,2021년 10월 25일 12시,월요일,전라북도 익산시 왕궁면,사망사고,1,2,6,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,77세,중상,승용,남,23세,경상
